2025-04-23 20:41:04.1203 | INFO | Thread: 1 | SortVisualizer.MainForm..ctor(MainForm.cs:23) | Application starting. 
2025-04-23 20:41:04.3557 | INFO | Thread: 1 | SortVisualizer.MainForm..ctor(MainForm.cs:35) | MainForm initialized successfully. 
2025-04-23 20:42:10.1987 | INFO | Thread: 12 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: MergeSort 
2025-04-23 20:42:19.9440 | WARN | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:291) | Sorting operation was cancelled by the user. 
2025-04-23 20:42:35.7813 | INFO | Thread: 10 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: MergeSort 
2025-04-23 20:43:20.9780 | INFO | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:305) | Sorting operation completed successfully. 
2025-04-23 20:43:48.5094 | INFO | Thread: 7 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: RadixSort 
2025-04-23 20:45:40.3849 | INFO | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:305) | Sorting operation completed successfully. 
2025-04-23 21:10:04.7086 | INFO | Thread: 1 | SortVisualizer.MainForm..ctor(MainForm.cs:23) | Application starting. 
2025-04-23 21:10:04.9283 | INFO | Thread: 1 | SortVisualizer.MainForm..ctor(MainForm.cs:35) | MainForm initialized successfully. 
2025-04-23 21:10:15.8828 | INFO | Thread: 7 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: BubbleSort 
2025-04-23 21:10:24.6110 | INFO | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:305) | Sorting operation completed successfully. 
2025-04-23 21:10:28.9684 | INFO | Thread: 7 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: BubbleSort 
2025-04-23 21:10:30.1883 | WARN | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:291) | Sorting operation was cancelled by the user. 
2025-04-23 21:10:54.5597 | INFO | Thread: 12 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: CountingSort 
2025-04-23 21:10:59.2384 | INFO | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:305) | Sorting operation completed successfully. 
2025-04-23 21:11:11.7294 | INFO | Thread: 12 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: InsertionSort 
2025-04-23 21:11:30.6179 | WARN | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:291) | Sorting operation was cancelled by the user. 
2025-04-23 21:11:39.3681 | INFO | Thread: 12 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: MergeSort 
2025-04-23 21:12:14.2657 | INFO | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:305) | Sorting operation completed successfully. 
2025-04-23 21:12:23.9829 | INFO | Thread: 12 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: SelectionSort 
2025-04-23 21:12:58.8570 | INFO | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:305) | Sorting operation completed successfully. 
2025-04-23 21:13:09.1399 | INFO | Thread: 12 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: QuickSort 
2025-04-23 21:13:09.1561 | INFO | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:305) | Sorting operation completed successfully. 
2025-04-23 21:13:15.4343 | INFO | Thread: 19 | SortVisualizer.MainForm.bgWorker_DoWork(MainForm.cs:262) | Background worker started for algorithm: QuickSort 
2025-04-23 21:15:35.7426 | INFO | Thread: 1 | SortVisualizer.MainForm.bgWorker_RunWorkerCompleted(MainForm.cs:305) | Sorting operation completed successfully. 
